                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3152,                 3.0256,                  1.429,                0.92643,                0.88868,                0.91982,                0.64754,                0.98529,                  1.653,                 1.1826,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                0.92443,                 1.5314,                 1.1547,                0.73111,                0.79021,                 0.8271,                0.60648,                0.89255,                 1.9318,                 1.0624,             0.00011438,             0.00011438,             0.00011438
                      3,                0.95504,                 1.3337,                 1.1437,                0.93546,                0.95611,                0.97614,                0.70018,                 1.1216,                 2.9489,                 1.1314,             0.00017611,             0.00017611,             0.00017611
                      4,                0.91621,                 1.0777,                 1.1057,                0.78726,                      1,                0.96743,                 0.6911,                0.99886,                 3.3965,                  1.082,              0.0002352,              0.0002352,              0.0002352
                      5,                 1.0146,                 1.0713,                 1.1732,                 0.8966,                0.83333,                0.95979,                0.67908,                 1.0353,                 1.8805,                  1.111,             0.00029164,             0.00029164,             0.00029164
                      6,                0.92093,                0.97155,                 1.1188,                0.95465,                0.80901,                0.88905,                0.64144,                 1.0577,                 1.8664,                 1.1001,             0.00034545,             0.00034545,             0.00034545
                      7,                0.89251,                0.89765,                 1.0752,                0.93566,                0.97619,                 0.9782,                 0.7005,                 1.0342,                  1.625,                 1.2098,             0.00039662,             0.00039662,             0.00039662
                      8,                0.89324,                0.85102,                 1.1278,                0.73105,                0.88095,                0.77279,                0.54948,                 1.1086,                 3.6178,                 1.3656,             0.00044515,             0.00044515,             0.00044515
                      9,                0.94409,                0.82505,                 1.1337,                0.77389,                0.87626,                0.96469,                0.66151,                 1.1035,                 2.3696,                  1.309,             0.00049103,             0.00049103,             0.00049103
                     10,                0.87681,                0.82232,                 1.0598,                0.60522,                0.85714,                0.67363,                 0.4098,                 1.2875,                 5.0911,                 1.5779,             0.00053428,             0.00053428,             0.00053428
                     11,                0.93336,                0.84998,                  1.119,                0.44347,                0.57143,                0.52248,                0.35423,                 1.6641,                 21.057,                 1.9871,             0.00057488,             0.00057488,             0.00057488
                     12,                 1.0008,                 1.0075,                 1.1819,                0.34595,                0.65065,                0.36985,                 0.1613,                 2.1625,                 62.368,                 2.7502,             0.00061285,             0.00061285,             0.00061285
                     13,                0.96836,                0.82861,                 1.1222,                0.15529,                 0.2619,                0.04585,                0.01366,                 2.4836,                 54.677,                 3.0713,             0.00064817,             0.00064817,             0.00064817
                     14,                0.98081,                0.79623,                 1.2108,                 0.2511,                0.28571,                0.10256,                0.05539,                 1.6201,                 20.431,                 1.7754,             0.00068085,             0.00068085,             0.00068085
                     15,                0.91811,                0.76792,                 1.1599,                0.50272,                0.35714,                0.14311,                0.10065,                 1.6521,                 7.1082,                 2.6019,              0.0007109,              0.0007109,              0.0007109
                     16,                0.94928,                0.82005,                 1.1338,                0.52372,                0.64286,                0.30047,                0.21164,                 1.4335,                 19.003,                 1.9549,              0.0007383,              0.0007383,              0.0007383
                     17,                0.91321,                0.90128,                 1.1539,                0.41231,                 0.7619,                0.38134,                0.23248,                 1.3374,                 24.061,                 1.8258,             0.00076306,             0.00076306,             0.00076306
                     18,                0.85145,                0.72032,                 1.0475,                0.57162,                0.83333,                0.67994,                0.44466,                 1.2206,                 9.4396,                 1.7652,             0.00078518,             0.00078518,             0.00078518
                     19,                0.92971,                0.70536,                 1.0817,                0.47691,                0.95238,                0.66674,                0.43738,                 1.2232,                 19.779,                 1.8811,             0.00080466,             0.00080466,             0.00080466
                     20,                0.94921,                0.74527,                 1.1752,                0.44258,                0.95238,                0.58578,                0.42116,                 1.1735,                 28.233,                 1.6589,              0.0008215,              0.0008215,              0.0008215
                     21,                0.97142,                0.85777,                 1.1035,                0.48696,                0.80952,                0.56093,                0.29426,                 1.2658,                  20.56,                 1.9038,              0.0008357,              0.0008357,              0.0008357
                     22,                 0.9026,                0.75553,                   1.12,                0.40224,                0.98539,                0.64583,                0.39183,                 1.1027,                 22.407,                 1.6902,             0.00084726,             0.00084726,             0.00084726
                     23,                 0.9517,                0.75884,                 1.1719,                0.33855,                0.92857,                0.44325,                0.25517,                 1.1914,                 64.976,                 1.7901,             0.00085618,             0.00085618,             0.00085618
                     24,                0.97786,                0.86186,                  1.276,                0.41327,                0.75952,                0.39969,                 0.2482,                 1.2191,                   60.2,                 1.8081,             0.00086246,             0.00086246,             0.00086246
                     25,                0.91789,                0.75483,                 1.1213,                0.51548,                0.85023,                0.51904,                0.40127,                 1.0142,                 30.206,                  1.372,             0.00086609,             0.00086609,             0.00086609
                     26,                0.81612,                0.70702,                 1.0278,                0.54984,                0.78571,                0.54435,                0.41314,                0.99092,                 4.7055,                 1.3254,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.0307,                0.82033,                 1.2584,                0.96237,                0.90476,                0.94969,                0.69185,                0.97112,                 1.7712,                 1.4521,             0.00080883,             0.00080883,             0.00080883
